concentration,box_length,chemical_potential,uncertainty
0.0066,5.0,-87.50,0.01
0.0066,7.21125,-87.23,0.04
0.0066,9.56466,-87.07,0.01
0.0066,12.33106,-87.00,0.02
0.020,5.0,-82.16,0.01
0.020,7.71011,-81.91,0.01
0.020,10.13700,-81.82,0.01
0.020,12.51110,-81.80,0.02
0.033,5.0,-79.73,0.01
0.033,7.51847,-79.54,0.01
0.033,10.08265,-79.47,0.02
0.033,12.54649,-79.45,0.01
0.073,5.0,-76.07,0.02
0.073,7.49157,-75.93,0.02
0.073,10.03774,-75.89,0.01
0.073,12.47875,-75.90,0.02
0.14,5.0,-73.15,0.01
0.14,7.50441,-73.05,0.02
0.14,10.01980,-73.03,0.01
0.14,12.51110,-73.02,0.02
0.34,5.0,-69.23,0.02
0.34,7.51269,-69.18,0.01
0.34,10.00816,-69.18,0.02
0.34,12.50065,-69.17,0.03
0.67,5.0,-66.20,0.02
0.67,7.50092,-66.19,0.02
0.67,10.00412,-66.17,0.02
0.67,12.50213,-66.17,0.02